typology,lce_stage,stage_alias_from_book,core_activity,engineering_analysis_function,engineering_synthesis_organization,engineering_synthesis_information,engineering_synthesis_resource,engineering_evaluation_performance,representative_tools_methods,expected_deliverables_tollgates,i5s_cues,source_basis,prompt_priority
Product Transfer,Ideation,Idea | Imagination,"Define product information, BOM, materials, standards, quality requirements, and delivery expectations.","Capture market/customer requirements, preliminary design concepts, existing product data, and product-transfer constraints.","Product engineering, manufacturing engineering, quality, procurement, and supply-chain teams.","BOM, material specification sheet, component standards, quality requirement matrix, estimated delivery needs, traceability needs.","BOM tools, material databases, quality templates, stakeholder input, and supplier capability information.",BOM and quality requirements approved as the basis for manufacturing and supplier planning.,"['BOM management', 'material database', 'quality requirement matrix', 'traceability template']","['BOM draft', 'material specification sheet', 'quality requirement matrix', 'product-transfer requirement brief']","{'Social': ['stakeholder input'], 'Sustainable': ['durability', 'recyclability'], 'Sensing': ['traceability needs'], 'Smart': ['BOM tools'], 'Safe': ['quality/safety requirements']}","['Book ch.6, Life Cycle diagram flow, Product Transfer description', 'Book ch.6, Idea | Imagination: Individual Component Specification']","Define product information, BOM, materials, standards, quality requirements, and delivery expectations."
Product Transfer,Basic Development,Basic Development | Conceptualization,"Define manufacturing and quality-control requirements for volume, cost, time, product attributes, tolerances, and acceptance variables.",Translate BOM and product attributes into manufacturing specifications and quality-control parameters.,"Manufacturing engineering, process planning, quality assurance, supply-chain planning, and metrology support.","Manufacturing specification, quality-control parameters, inspection plan, acceptance criteria, control-variable definitions.","APQP/SPC tools, process flow templates, metrology resources, inspection templates, and training materials.",Manufacturing and inspection plans reviewed for feasibility before supplier qualification and launch preparation.,"['APQP', 'SPC', 'inspection planning', 'metrology', 'process flow diagram']","['manufacturing specification', 'control plan', 'inspection plan', 'acceptance criteria', 'process flow diagram']","{'Social': ['workforce skill matrix'], 'Sustainable': ['waste prevention via quality control'], 'Sensing': ['inspection variables'], 'Smart': ['SPC analysis'], 'Safe': ['acceptance/rejection criteria']}","['Book ch.6, Basic Development: Manufacturing and Quality Control Requirements']","Define manufacturing and quality-control requirements for volume, cost, time, product attributes, tolerances, and acceptance variables."
Product Transfer,Advanced Development,Advanced Development | Design,"Select manufacturing suppliers and partners based on capabilities, capacity, compliance, cost, quality, and risk.",Evaluate supplier capabilities and qualification evidence against manufacturing specifications.,"Procurement, supply chain, quality, product engineering, and technical evaluation teams.","Supplier shortlist, qualification reports, audit evidence, supplier capability/capacity reports, risk assessment.","AHP/TCO or similar MCDM tools, supplier data, audit checklists, capability matrix, and compliance screening.",Supplier selection supported by qualification evidence and documented sourcing decision.,"['supplier MCDM', 'AHP', 'TCO', 'supplier audit', 'risk matrix', 'supplier capability assessment']","['supplier shortlist', 'qualification report', 'supplier agreement/contract', 'supplier capability and capacity report']","{'Social': ['supplier engagement'], 'Sustainable': ['supplier sustainability screening'], 'Sensing': ['supplier data'], 'Smart': ['MCDM scoring'], 'Safe': ['compliance checks']}","['Book ch.6, Advanced Development: Manufacturing Supplier Selection', 'Book ch.7, supplier engagement and resilience']","Select manufacturing suppliers and partners based on capabilities, capacity, compliance, cost, quality, and risk."
Product Transfer,Launching,Launching | Creation/Operation,"Manufacture, assemble, check quality controls, document delivery/inventory, train workforce, and manage ramp-up readiness.","Execute manufacturing and assembly instructions, quality checks, training, and launch-readiness verification.","Production team, quality manager, training coordinator, manufacturing engineering, and supply-chain team.","Assembly instructions, quality-control reports, acceptance criteria, training records, traceability log, delivery/inventory records.","Assembly equipment, training materials, inspection tools, APQP/SPC records, and digital traceability system.","Assembly readiness verified through acceptance criteria, training completion, quality-control evidence, traceability readiness, and ramp-up approval.","['APQP', 'SPC', 'quality inspection', 'training matrix', 'traceability log', 'inventory documentation']","['assembled components', 'quality-control report', 'delivery/inventory documentation', 'ramp-up checklist', 'traceability log']","{'Social': ['training'], 'Sustainable': ['waste/rework reduction'], 'Sensing': ['quality-control data'], 'Smart': ['traceability system'], 'Safe': ['safe assembly procedures']}","['Book ch.6, Launching: Manufacturing and Assembly of Components']","Manufacture, assemble, check quality controls, document delivery/inventory, train workforce, and manage ramp-up readiness."
Product Transfer,End-of-Life,End of Life,"Plan disassembly, reuse, recycling, reverse logistics, contract closure, and product-transfer lifecycle documentation.","Assess end-of-life options for components/products and define recovery, reuse, and reverse-logistics pathways.","Sustainability, logistics, procurement, supplier management, product engineering, and quality teams.","Reverse-logistics plan, contract-closure checklist, disassembly instructions, recycling pathways, lessons learned.","Disassembly tools, recycling contracts, supplier records, lifecycle-data repository, and traceability system.","End-of-life and contract-closure plan approved with reuse, recycling, and reverse-logistics pathways documented.","['reverse logistics', 'disassembly planning', 'recycling pathway', 'contract closure', 'lessons learned']","['reverse-logistics plan', 'contract-closure checklist', 'disassembly instruction', 'recycling/reuse pathway']","{'Social': ['responsible decommissioning'], 'Sustainable': ['reuse/recycling'], 'Sensing': ['lifecycle records'], 'Smart': ['reconfiguration/upgrade records'], 'Safe': ['safe disposal']}","['Book ch.6, End of Life: 5S', 'Book ch.2, End-of-life 10R and 5S']","Plan disassembly, reuse, recycling, reverse logistics, contract closure, and product-transfer lifecycle documentation."
Technology Transfer,Ideation,Idea | Imagination,"Capture component or component-family specifications: geometry, drawings, materials, and production rates/batch size.","Capture technical specifications, geometry, material data, production-rate assumptions, and feasibility constraints.","Product engineering, manufacturing engineering, materials, quality, and technology specialists.","Technical specification sheet, geometric data/drawings, material data sheets, production batch-size documentation.","CAD models, material databases, supplier capability data, and technical-economic benchmarking inputs.",Technical specification sheet approved by product and manufacturing engineering for downstream technology-selection decisions.,"['CAD', 'material data sheet', 'technical specification', 'benchmarking input']","['technical specification sheet', 'geometry/drawing package', 'material data sheet', 'batch-size documentation']","{'Social': ['engineering collaboration'], 'Sustainable': ['material selection'], 'Sensing': ['data requirements'], 'Smart': ['CAD/CAM data'], 'Safe': ['technical constraints']}","['Book ch.6, Idea | Imagination: Technology transfer Individual Component Specification']","Capture component or component-family specifications: geometry, drawings, materials, and production rates/batch size."
Technology Transfer,Basic Development,Basic Development | Conceptualization,"Evaluate machines, material-handling equipment, tooling, jigs/fixtures, and supporting tools to select manufacturing resources.","Compare manufacturing technologies and equipment using technical-economic, feasibility, capacity, and sustainability criteria.","Manufacturing engineering, procurement, process engineering, quality, maintenance, and equipment suppliers.","Benchmark report, equipment/technology shortlist, supplier data, feasibility assumptions, pilot-line or joint-development trial plan.","Equipment catalogues, supplier trials, pilot-line resources, AHP/TCO or similar decision tools, feasibility-analysis templates.","Technology-selection decision supported by benchmark evidence, equipment shortlist, and human-approved feasibility review.","['technical-economic benchmarking', 'equipment shortlist', 'AHP/TCO', 'pilot-line trial', 'joint-development trial', 'resource-selection matrix']","['technology/equipment selection report', 'equipment specification sheet', 'preliminary process flowchart', 'pilot-trial plan']","{'Social': ['cross-functional review'], 'Sustainable': ['resource efficiency'], 'Sensing': ['equipment monitoring requirements'], 'Smart': ['resource optimization'], 'Safe': ['equipment safety criteria']}","['Book ch.6, Basic Development: Manufacturing Resources Specification and Selection', 'Book ch.6, Ten Core Technologies']","Evaluate machines, material-handling equipment, tooling, jigs/fixtures, and supporting tools to select manufacturing resources."
Technology Transfer,Advanced Development,Advanced Development | Design,"Develop process plan, SOPs, control documentation, inspection criteria, and data-collection logic for the selected technology.","Define process flow, raw materials, tools, fixtures, gauges, SOPs, quality-control process documentation, and MES/ERP data requirements.","Process engineering, quality assurance, automation/MES team, maintenance, and operations representatives.","Detailed process charts, control plan, SOP draft, inspection criteria, MES/ERP data requirements, pilot-validation evidence.","SOP templates, quality tools, metrology resources, MES/ERP interface definitions, predictive-maintenance inputs, digital-twin/simulation support.",Process plan and control documentation validated for pilot testing with a human-approved SOP baseline.,"['process chart', 'SOP', 'control plan', 'inspection criteria', 'MES/ERP', 'predictive maintenance', 'digital twin']","['detailed process chart', 'required tools/fixtures/gauges list', 'SOP draft', 'quality-control documentation', 'pilot-validation package']","{'Social': ['operator input to SOPs'], 'Sustainable': ['process efficiency'], 'Sensing': ['data collection logic'], 'Smart': ['digital twin/predictive maintenance'], 'Safe': ['risk review for selected technology']}","['Book ch.6, Advanced Development: Process Plan', 'Book ch.6, Ten Core Technologies']","Develop process plan, SOPs, control documentation, inspection criteria, and data-collection logic for the selected technology."
Technology Transfer,Launching,Launching | Creation/Operation,"Set up, test, qualify, and ramp up equipment; conduct pilot production and first-article inspection.","Install, qualify, test, and ramp up equipment through installation qualification, pilot production, first-article inspection, and deviation review.","Commissioning team, operations, maintenance, quality, supplier technical support, and process engineering.","Installation qualification report, calibration records, ramp-up checklist, first-article inspection report, deviation log, approval evidence.","Installation tools, calibration equipment, pilot-line resources, inspection systems, MES/SCADA data, digital-twin/simulation support.","Equipment readiness confirmed through installation qualification, first-article inspection, and human-approved production ramp-up decision.","['installation qualification', 'calibration', 'pilot production', 'first-article inspection', 'ramp-up checklist', 'MES/SCADA']","['operational equipment', 'test result/validation report', 'ramp-up checklist', 'first-article inspection report', 'initial production output']","{'Social': ['training during ramp-up'], 'Sustainable': ['energy/process monitoring'], 'Sensing': ['SCADA/MES data'], 'Smart': ['digital twin support'], 'Safe': ['commissioning safety checks']}","['Book ch.6, Launching: Equipment Set-up and Ramp-up of Production']","Set up, test, qualify, and ramp up equipment; conduct pilot production and first-article inspection."
Technology Transfer,End-of-Life,End of Life,"Retire or adapt equipment, document performance and failures, and update lifecycle-learning records for future transfers.","Assess equipment retirement/adaptation options, failure history, maintainability, reuse/recycling potential, and lessons learned.","Asset management, maintenance, sustainability/logistics, engineering knowledge management, and operations.","End-of-life report, failure-history log, lessons-learned archive, digital-twin lifecycle update, reuse/recycling plan.","Maintenance records, MES/ERP or historian data, decommissioning tools, recycling/reuse partners, digital-twin records.","Closure approved after performance history, failure lessons, and reuse or retirement decisions are documented for future technology-transfer learning.","['failure-history log', 'digital twin update', 'lessons learned', 'asset recovery', 'equipment adaptation']","['end-of-life report', 'lessons-learned archive', 'digital-twin lifecycle update', 'reuse/recycling plan']","{'Social': ['knowledge retention'], 'Sustainable': ['equipment reuse/recycling'], 'Sensing': ['performance/failure records'], 'Smart': ['lifecycle learning'], 'Safe': ['safe decommissioning']}","['Book ch.6, End of Life: 5S', 'Book ch.2, End-of-life 10R and 5S']","Retire or adapt equipment, document performance and failures, and update lifecycle-learning records for future transfers."
Facility Design,Ideation,Idea | Imagination,"Specify product, process, production-volume, and facility requirements to initiate new or transformed facility design.","Define product/process requirements, demand scenarios, facility constraints, site assumptions, and human-factors criteria.","Manufacturing engineering, operations, product engineering, facilities, safety, ergonomics, sustainability, and supply-chain stakeholders.","Facility requirements brief, process-flow assumptions, production-volume forecasts, site constraints, ergonomic criteria, sustainability criteria.","Process data, product documentation, site information, stakeholder workshops, preliminary capacity assumptions, ergonomic assessment data.",Facility requirements brief approved as the ideation gate for manufacturing-system and equipment selection.,"['facility requirements brief', 'process flow diagram', 'demand scenario', 'stakeholder workshop', 'ergonomic assessment']","['facility requirements brief', 'initial layout concept', 'manufacturing process specification', 'capacity assumption record']","{'Social': ['ergonomic criteria'], 'Sustainable': ['sustainability criteria'], 'Sensing': ['future monitoring needs'], 'Smart': ['scenario planning'], 'Safe': ['site/safety constraints']}","['Book ch.6, Idea | Imagination: Facility Design Product and Manufacturing Process Specification']","Specify product, process, production-volume, and facility requirements to initiate new or transformed facility design."
Facility Design,Basic Development,Basic Development | Conceptualization,"Select manufacturing systems, equipment, utilities, and facility concepts that satisfy process and capacity needs.","Evaluate available technology, machines, material handling equipment, tooling, jigs/fixtures, utility needs, and make-or-buy logic.","Facilities engineering, manufacturing engineering, procurement, operations, safety, sustainability, and finance/cost review.","Equipment/system specification sheet, utility matrix, system alternatives, make-or-buy logic, updated facility layout assumptions.","Supplier data, equipment catalogues, utility-load calculations, layout tools, capacity models, technical-economic benchmarking templates.","Facility concept and equipment/system selection reviewed against process, capacity, safety, sustainability, and utility requirements.","['equipment selection', 'utility matrix', 'make-or-buy analysis', 'capacity model', 'technical-economic benchmarking']","['manufacturing system specification', 'equipment/technology selection report', 'utility matrix', 'updated facility layout plan']","{'Social': ['operator/facility requirements'], 'Sustainable': ['utilities and energy'], 'Sensing': ['monitoring infrastructure needs'], 'Smart': ['capacity modelling'], 'Safe': ['equipment/facility safety needs']}","['Book ch.6, Basic Development: Manufacturing System Specification']","Select manufacturing systems, equipment, utilities, and facility concepts that satisfy process and capacity needs."
Facility Design,Advanced Development,Advanced Development | Design,"Design shop-floor layout, capacity, material flow, manufacturing strategy, storage/buffers, human movement, safety zones, utilities, and digital infrastructure.","Develop integrated layout and manufacturing strategy using capacity plans, material-flow logic, station/cell configuration, safety zoning, and simulation evidence.","Industrial engineering, facilities, operations, maintenance, safety, IT/OT, logistics, quality, and sustainability teams.","Detailed layout drawings, capacity analysis, material-flow map, storage/buffer plan, safety-zone plan, utility plan, digital-infrastructure requirements.","Layout simulation, DES or capacity tools, CAD/BIM resources, safety assessment tools, logistics data, utility-planning inputs.","Layout and capacity design validated through flow, safety, utility, and operational-readiness review.","['CAD/BIM layout', 'discrete-event simulation', 'capacity planning', 'material-flow analysis', 'safety zoning', 'utility planning', 'FMEA/HAZOP']","['detailed layout drawing', 'capacity simulation report', 'material-flow diagram', 'safety-zone plan', 'utility plan', 'risk assessment']","{'Social': ['human movement paths'], 'Sustainable': ['energy/resource-aware layout'], 'Sensing': ['data-flow requirements'], 'Smart': ['simulation/digital twin'], 'Safe': ['safety zones/risk assessment']}","['Book ch.6, Advanced Development: Manufacturing System Design', 'Book ch.6, Ten Core Technologies']","Design shop-floor layout, capacity, material flow, manufacturing strategy, storage/buffers, human movement, safety zones, utilities, and digital infrastructure."
Facility Design,Launching,Launching | Creation/Operation,"Build, install, commission, calibrate, validate, ramp up, and evaluate the facility and manufacturing systems.","Execute construction/build, equipment installation, commissioning, calibration, site acceptance testing, operator readiness, safety sign-off, and ramp-up evaluation.","Construction/facilities team, equipment suppliers, commissioning team, operations, maintenance, quality, safety, IT/OT, and training coordinators.","Installation records, commissioning checklist, site acceptance test report, ramp-up evaluation checklist, training records, safety sign-off, first-article inspection records.","Construction resources, installation tools, commissioning protocols, calibration equipment, training materials, MES/SCADA infrastructure, inspection tools.","Facility readiness confirmed through commissioning, site acceptance, training, safety sign-off, and human-approved ramp-up decision.","['commissioning', 'calibration', 'site acceptance testing', 'operator readiness', 'safety sign-off', 'MES/SCADA', 'first-article inspection']","['constructed/operational facility', 'commissioning records', 'site acceptance test report', 'ramp-up evaluation checklist', 'performance evaluation report']","{'Social': ['operator readiness/training'], 'Sustainable': ['commissioning resource data'], 'Sensing': ['calibrated monitoring infrastructure'], 'Smart': ['MES/SCADA readiness'], 'Safe': ['LOTO/safety sign-off']}","['Book ch.6, Launching: Facility Construction, Set-up, and Ramp-up of Production']","Build, install, commission, calibrate, validate, ramp up, and evaluate the facility and manufacturing systems."
Facility Design,End-of-Life,End of Life,"Audit facility for reuse, reconfiguration, transformation, decommissioning, asset recovery, reverse logistics, and lessons learned.","Assess reuse, transformation, decommissioning, asset recovery, reverse logistics, environmental impact, and facility adaptability options.","Facilities, asset management, sustainability, finance, operations, safety, logistics, and decommissioning/reconfiguration partners.","Facility audit, asset inventory, reconfiguration options, decommissioning plan, sustainability assessment, reverse-logistics plan, lessons learned.","Asset records, maintenance data, facility drawings, environmental records, audit checklists, decommissioning/reconfiguration partners.","Reuse, reconfiguration, or decommissioning decision approved with documented asset, safety, and sustainability evidence.","['facility audit', 'asset inventory', 'reconfiguration study', 'decommissioning plan', 'reverse logistics', 'lessons learned']","['reuse/decommissioning audit report', 'asset inventory', 'reverse-logistics plan', 'reconfiguration option report', 'lessons-learned repository']","{'Social': ['community/worker transition'], 'Sustainable': ['asset recovery/reuse'], 'Sensing': ['asset/performance records'], 'Smart': ['reconfiguration protocols'], 'Safe': ['safe decommissioning']}","['Book ch.6, End of Life: 5S', 'Book ch.2, End-of-life 10R and 5S']","Audit facility for reuse, reconfiguration, transformation, decommissioning, asset recovery, reverse logistics, and lessons learned."
